iter	RMSE
772	655.1395101
773	655.1392641
774	655.1381889
775	655.1378667
776	655.1362999
777	655.1357849
778	655.1354613
779	655.1353387
780	655.1340735
781	655.1336712
782	655.1315145
783	655.1295199
784	655.1294817
785	655.1290844
786	655.1289426
787	655.1283631
788	655.1280362
789	655.1272211
790	655.1246956
791	655.1241578
792	655.1232199
793	655.1213716
794	655.1210812
795	655.1203854
796	655.1200932
797	655.1175227
798	655.1166489
799	655.1162229
800	655.1159454
801	655.1151244
802	655.113579
803	655.1121237
804	655.1118414
805	655.1114288
806	655.1105923
807	655.1091483
808	655.1082694
809	655.106917
810	655.1063932
811	655.1062157
812	655.1053595
813	655.1043294
814	655.1034429
815	655.1006239
816	655.1002275
817	655.1000147
818	655.0982929
819	655.0966025
820	655.0956634
821	655.0951511
822	655.0941793
823	655.0939522
824	655.0931999
825	655.0913852
826	655.0911791
827	655.0895201
828	655.0892995
829	655.0870962
830	655.0866404
831	655.0857901
832	655.0846772
833	655.0836953
834	655.0829611
835	655.0828692
836	655.0814776
837	655.0807962
838	655.0799913
839	655.0798373
840	655.0793489
841	655.0790158
842	655.0788509
843	655.0785162
844	655.0784164
845	655.0774453
846	655.0765556
847	655.0755534
848	655.0737727
849	655.0725689
850	655.0708911
851	655.0704703
852	655.0695166
853	655.0690762
854	655.0684838
855	655.068277
856	655.066604
857	655.0655161
858	655.0653004
859	655.0641243
860	655.0635478
861	655.0617141
862	655.0602717
863	655.0589718
864	655.0567818
865	655.0564634
866	655.055885
867	655.054596
868	655.0539162
869	655.0533295
870	655.0508351
871	655.0495215
872	655.049417
873	655.0482986
874	655.0479231
875	655.046523
876	655.0453134
877	655.0447994
878	655.0444184
879	655.0439666
880	655.0432827
881	655.0420649
882	655.0406197
883	655.0404663
884	655.0397652
885	655.0389773
886	655.0380367
887	655.0376924
888	655.0364923
889	655.0361368
890	655.0355106
891	655.034993
892	655.0342181
893	655.0330644
894	655.0323299
895	655.0306314
896	655.0297416
897	655.0294175
898	655.0291221
899	655.0287374
900	655.0283837
901	655.0270405
902	655.0265703
903	655.0263263
904	655.0251762
905	655.0249417
906	655.0247258
907	655.0242356
908	655.0236076
909	655.0226258
910	655.022402
911	655.0215275
912	655.0213315
913	655.0204897
914	655.0204303
915	655.0201367
916	655.0189481
917	655.0185395
918	655.0172617
919	655.0162839
920	655.0148316
921	655.014344
922	655.0141314
923	655.0137597
924	655.0126061
925	655.0117988
926	655.0111384
927	655.0095946
928	655.0086708
929	655.0069178
930	655.0066099
931	655.0065682
932	655.0057589
933	655.0049825
934	655.0047774
935	655.0036469
936	655.0026479
937	655.0023028
938	655.0021322
939	655.0011705
940	655.0001493
941	654.999485
942	654.9989764
943	654.9987286
944	654.9985156
945	654.9980111
946	654.9976955
947	654.9972288
948	654.9968809
949	654.9965571
950	654.9962661
951	654.9953266
952	654.9942585
953	654.9941611
954	654.9923999
955	654.9916141
956	654.9913807
957	654.9913374
958	654.9911511
959	654.9911208
960	654.9909814
961	654.990107
962	654.9891261
963	654.9885378
964	654.9876701
965	654.9870119
966	654.9857898
967	654.9842049
968	654.983884
969	654.9838017
970	654.9835989
971	654.983448
972	654.983184
973	654.9815368
974	654.9812145
975	654.9811917
976	654.9806411
977	654.9804433
978	654.9800915
979	654.9799517
980	654.9791815
981	654.9786868
982	654.9777526
983	654.9776624
984	654.9769513
985	654.9767651
986	654.9759311
987	654.9751005
988	654.9737972
989	654.973546
990	654.973311
991	654.9731398
992	654.9715434
993	654.9704788
994	654.9694621
995	654.9694025
996	654.9691254
997	654.968329
998	654.9669828
999	654.9669546
